,Symbols,Expression Cutoffs,log-rank P Values,best_quantile,higher_median,lower_median
0,RAB4B,3.336005310458,0.07224843907265155,0.6,17.687671232876713,10.052054794520547
1,TIGAR,1.8179077251409999,0.012492491737741602,0.1,10.808219178082192,9.484931506849316
2,RNF44,13.59759716436,0.3263693668398486,0.8,9.484931506849316,17.687671232876713
3,DNAH3,0.041490297608569995,0.20763752093376564,0.7,inf,10.610958904109589
4,RPL23A,110.42925581499999,0.30954144327917277,0.2,10.808219178082192,20.424657534246574
5,ARL8B,46.30873974624,0.33010925102325667,0.8,inf,10.797260273972602
6,CALB2,24.700559929290087,0.029900572268151047,0.9,inf,10.808219178082192
7,MFSD3,5.44867640207,0.012653358997030087,0.1,10.808219178082192,inf
8,PIGV,5.038579169157,0.33240917372670475,0.3,10.610958904109589,18.063013698630137
9,ZNF708,2.4637698248699995,0.150781016207793,0.7,10.052054794520547,17.687671232876713
10,MYADML2,0.1391431476114,0.5008603216423162,0.9,inf,10.797260273972602
11,PHEX,0.3638832130992001,0.018411417845536415,0.3,10.756164383561643,inf
12,MOGAT2,0.03748090764619,0.09121148551613074,0.1,12.208219178082192,7.6657534246575345
13,PFN2,13.58717029456,0.36102458869481946,0.2,10.808219178082192,12.208219178082192
14,RMND5A,13.8404017798,0.28460005454338055,0.6,20.424657534246574,9.567123287671233
15,RAD23A,32.57788037346,0.27010676433725944,0.4,12.208219178082192,10.052054794520547
16,SIN3B,6.22733539919,0.02316824162508005,0.5,18.063013698630137,10.610958904109589
17,TLL2,0.07286472935808,0.1581304966651306,0.4,10.610958904109589,20.424657534246574
18,CTSA,33.26346537888,0.012726053339402467,0.8,inf,10.808219178082192
19,IL32,30.823100740010005,0.047260942548882065,0.9,inf,10.797260273972602
20,PTPN4,1.054962672986,0.11285357531032794,0.1,10.797260273972602,17.687671232876713
21,NUCB2,16.73514453692,0.13303391676478077,0.6,12.208219178082192,10.756164383561643
22,TMEM143,1.435782312242,0.054703919928198716,0.4,10.052054794520547,inf
23,SERTAD2,6.797818662638,0.09371254728020137,0.2,10.756164383561643,18.063013698630137
24,ST3GAL6,0.6175733448044001,0.3547809171973497,0.2,10.052054794520547,12.208219178082192
25,PKP2,3.785258177178,0.06956511685784192,0.6,12.208219178082192,10.797260273972602
26,KRT1,0.01725702095148,0.04101003628161294,0.3,10.052054794520547,inf
27,SLC45A4,1.7717552602800002,0.01506573011540093,0.3,10.756164383561643,inf
28,MTRF1,1.713859183656,0.3414175830677715,0.6,18.063013698630137,10.797260273972602
29,ESM1,5.573417216842001,0.09849457479614138,0.8,12.208219178082192,10.797260273972602
30,RWDD2A,2.9451018973570005,0.05926682297983943,0.7,8.936986301369863,17.687671232876713
31,SCFD2,8.387429409624,0.06984438241821839,0.8,20.424657534246574,10.808219178082192
32,YWHAB,152.89227543630005,0.008254861061240432,0.9,7.6657534246575345,12.208219178082192
33,TMEM155,0.0885381522709,0.06139641823008262,0.8,20.424657534246574,10.797260273972602
34,TOMM40,30.745356394400012,0.03653360059533892,0.9,inf,10.808219178082192
35,ADTRP,0.08159421572494999,0.03998270124324116,0.1,12.208219178082192,7.4301369863013695
36,NDUFAF2,15.789533270220002,0.013712773135277023,0.8,inf,10.808219178082192
37,SEPSECS,4.301226874087001,0.32614503092426633,0.9,7.4301369863013695,12.208219178082192
38,CWC27,6.89763686845,0.3385007194080837,0.6,10.756164383561643,12.208219178082192
